transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000559164	Pancreas	1.232	1.305	0.901	1.05979788123	5.355
ENST00000559164	Adipose - Subcutaneous	1.012	1.090	0.680	1.07776012477	4.332
ENST00000559164	Skin - Sun Exposed (Lower leg)	0.374	0.511	0.000	1.36732634234	1.979
ENST00000559164	Spleen	0.019	0.066	0.000	3.50013677171	0.341
ENST00000559164	Brain - Hippocampus	0.309	0.362	0.104	1.17194913228	1.353
ENST00000559164	Heart - Left Ventricle	0.531	0.541	0.440	1.02011921826	2.090
ENST00000559164	Brain - Cortex	0.349	0.348	0.313	0.999232252455	1.258
ENST00000559164	Muscle - Skeletal	0.511	0.590	0.337	1.15355725894	2.297
ENST00000559164	Brain - Spinal cord (cervical c-1)	0.288	0.355	0.021	1.23091701051	1.252
ENST00000559164	Uterus	1.502	1.272	1.332	0.847194568587	4.365
ENST00000559164	Brain - Nucleus accumbens (basal ganglia)	0.517	0.543	0.419	1.05068432958	2.179
ENST00000559164	Brain - Caudate (basal ganglia)	0.547	0.530	0.486	0.969138774749	2.224
ENST00000559164	Minor Salivary Gland	0.653	0.651	0.587	0.996150440566	2.879
ENST00000559164	Artery - Aorta	1.185	1.131	0.924	0.954739680284	4.447
ENST00000559164	Whole Blood	0.035	0.070	0.000	2.02702454539	0.277
ENST00000559164	Kidney - Cortex	0.502	0.630	0.122	1.25609367639	2.051
ENST00000559164	Nerve - Tibial	1.166	1.188	0.891	1.01910788821	4.463
ENST00000559164	Brain - Frontal Cortex (BA9)	0.462	0.521	0.316	1.12783111333	1.835
ENST00000559164	Adipose - Visceral (Omentum)	1.074	1.117	0.710	1.03915984249	4.545
ENST00000559164	Adrenal Gland	0.935	0.934	0.736	0.999533969602	3.989
ENST00000559164	Lung	0.917	0.964	0.657	1.05146726667	3.913
ENST00000559164	Cells - Transformed fibroblasts	3.247	2.167	2.972	0.667438282856	9.708
ENST00000559164	Artery - Tibial	1.357	1.383	0.922	1.01860240915	5.768
ENST00000559164	Colon - Sigmoid	1.367	1.157	1.140	0.846021349793	4.467
ENST00000559164	Pituitary	0.421	0.470	0.255	1.11750781732	1.841
ENST00000559164	Brain - Substantia nigra	0.488	0.519	0.290	1.06360748096	1.467
ENST00000559164	Cells - EBV-transformed lymphocytes	0.923	0.901	0.763	0.976572715516	3.305
ENST00000484523	Thyroid	0.000	0.000	0.000	0	0.000
ENST00000484523	Testis	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Anterior cingulate cortex (BA24)	0.000	0.000	0.000	0	0.000
ENST00000484523	Skin - Not Sun Exposed (Suprapubic)	0.000	0.000	0.000	0	0.000
ENST00000484523	Ovary	0.000	0.000	0.000	0	0.000
ENST00000484523	Vagina	0.000	0.000	0.000	0	0.000
ENST00000484523	Heart - Atrial Appendage	0.825	0.789	0.701	0.956635204721	3.234
ENST00000484523	Esophagus - Muscularis	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Cerebellar Hemisphere	0.000	0.000	0.000	0	0.000
ENST00000484523	Small Intestine - Terminal Ileum	0.261	0.398	0.000	1.52462660641	1.520
ENST00000484523	Breast - Mammary Tissue	0.000	0.000	0.000	0	0.000
ENST00000484523	Stomach	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Cerebellum	0.000	0.000	0.000	0	0.000
ENST00000484523	Esophagus - Mucosa	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Putamen (basal ganglia)	0.000	0.000	0.000	0	0.000
ENST00000484523	Artery - Coronary	0.000	0.000	0.000	0	0.000
ENST00000484523	Liver	0.000	0.000	0.000	0	0.000
ENST00000484523	Esophagus - Gastroesophageal Junction	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Hypothalamus	0.000	0.000	0.000	0	0.000
ENST00000484523	Colon - Transverse	0.000	0.000	0.000	0	0.000
ENST00000484523	Prostate	0.000	0.000	0.000	0	0.000
ENST00000484523	Brain - Amygdala	0.000	0.000	0.000	0	0.000
ENST00000484523	Pancreas	0.000	0.000	0.000	0	0.000
